X,Resid
             37937,0.00838462
           37937.9,-0.0182057
           37938.9,0.0375438
             37940,0.0811679
           37940.7,-0.014433
           37940.9,-0.0731185
           38219.9,-0.170127
           38220.8,0.0302668
           38220.9,0.0159716
           38221.8,-0.136713
           38221.9,-0.146672
           38225.9,0.102459
           38228.9,-0.0736558
           38229.9,-0.023191
           38231.8,0.0492555
           38232.9,0.130838
           38233.8,-0.0815417
           38234.8,0.217368
           38234.9,-0.0488169
           38235.9,0.0790294
           43015.9,0.136522
           43017.9,0.0193194
           43052.6,-0.248902
           43052.7,-0.266596
           43052.8,-0.146385
           43052.9,-0.0348122
           43057.6,-0.0458732
           43057.7,-0.0280411
           43057.8,0.024328
           43061.6,0.00369457
           43061.7,-0.0160252
           43061.8,-0.0452367
           43061.9,-0.0759762
           43066.7,-0.0290375
           43066.8,-0.0276022
           43066.9,-0.030064
           43073.6,0.110175
           43073.8,-0.0147352
           43092.6,-0.0386064
           43092.6,-0.0306064
           43094.7,0.06491
           43094.8,0.0669365
           43098.6,-0.0517281
           43104.7,-0.0485581
           43104.8,-0.00503903
           43126.7,0.0596635
           43403.8,-0.0325019
           43403.9,0.0463554
             43404,0.084309
           43404.6,0.083415
           43404.7,0.0822817
           43405.6,0.0992901
           43405.7,0.15998
           43405.8,0.16289
           43405.8,0.20289
           43405.9,0.159901
             43406,0.131205
             43406,0.151205
           43406.6,-0.040361
           43406.7,-0.0415125
           43406.8,-0.0494052
           43406.9,-0.0387828
             43407,-0.0351728
           43407.6,0.13262
           43407.7,-0.0447432
           43407.8,-0.153836
           43407.9,-0.235141
             43408,-0.226955
             43408,-0.146955
           43408.6,0.0447909
           43408.7,0.0413968
           43408.7,0.0663968
           43408.8,0.0630602
           43411.6,-0.0930546
           43411.7,-0.051773
           43411.8,0.00841776
           43411.9,0.130429
             43412,0.172413
           43492.7,0.0699807
           43500.6,-0.0317158
