Theta,Beta,Beta_bc
0,0,0
0.01,5.4351e-075,0
0.02,1.04655e-063,0
0.03,4.15979e-057,0
0.04,1.99583e-052,0
0.05,8.51253e-049,0
0.06,7.8546e-046,0
0.07,2.51974e-043,0
0.08,3.73026e-041,0
0.09,3.05914e-039,0
0.1,1.57436e-037,0
0.11,5.55751e-036,0
0.12,1.437e-034,0
0.13,2.86086e-033,0
0.14,4.55861e-032,0
0.15,5.99537e-031,0
0.16,6.67121e-030,0
0.17,6.40916e-029,0
0.18,5.40622e-028,0
0.19,4.0606e-027,0
0.2,2.74825e-026,0
0.21,1.69316e-025,0
0.22,9.57885e-025,0
0.23,5.01402e-024,0
0.24,2.44446e-023,0
0.25,1.1164e-022,0
0.26,4.8008e-022,0
0.27,1.9527e-021,0
0.28,7.54283e-021,0
0.29,2.77703e-020,0
0.3,9.77642e-020,0
0.31,3.30067e-019,0
0.32,1.07151e-018,0
0.33,3.35277e-018,0
0.34,1.01338e-017,0
0.35,2.9646e-017,0
0.36,8.40969e-017,1.17983e-012
0.37,2.31707e-016,2.35956e-012
0.38,6.21028e-016,7.07878e-012
0.39,1.62149e-015,1.7697e-011
0.4,4.12965e-015,4.36525e-011
0.41,1.02716e-014,1.09721e-010
0.42,2.49789e-014,2.65455e-010
0.43,5.94534e-014,6.32372e-010
0.44,1.38633e-013,1.47357e-009
0.45,3.16983e-013,3.36832e-009
0.46,7.11299e-013,7.55897e-009
0.47,1.56768e-012,1.66587e-008
0.48,3.39604e-012,3.60888e-008
0.49,7.23598e-012,7.68945e-008
0.5,1.51745e-011,1.61255e-007
0.51,3.1339e-011,3.3303e-007
0.52,6.37767e-011,6.77734e-007
0.53,1.27961e-010,1.3598e-006
0.54,2.5325e-010,2.6912e-006
0.55,4.94638e-010,5.25634e-006
0.56,9.53866e-010,1.01364e-005
0.57,1.81691e-009,1.93075e-005
0.58,3.4198e-009,3.63404e-005
0.59,6.36286e-009,6.76137e-005
0.6,1.1707e-008,0.000124399
0.61,2.13072e-008,0.000226399
0.62,3.83737e-008,0.000407702
0.63,6.8407e-008,0.000726675
0.64,1.2074e-007,0.00128224
0.65,2.11057e-007,0.00224032
0.66,3.65479e-007,0.00387629
0.67,6.27104e-007,0.00664188
0.68,1.06643e-006,0.0112686
0.69,1.79777e-006,0.018923
0.7,3.0049e-006,0.0314277
0.71,4.98084e-006,0.0515535
0.72,8.18899e-006,0.0833432
0.73,1.33562e-005,0.132321
0.74,2.16137e-005,0.205215
0.75,3.47077e-005,0.30846
0.76,5.53137e-005,0.444461
0.77,8.74981e-005,0.605389
0.78,0.000137395,0.767798
0.79,0.000214183,0.897337
0.8,0.000331497,0.970498
0.81,0.000509425,0.99555
0.82,0.000777336,0.999742
0.83,0.00117782,0.999996
0.84,0.00177214,1
0.85,0.00264766,1
0.86,0.0039279,1
0.87,0.00578588,1
0.88,0.00846164,1
0.89,0.0122847,1
0.9,0.0177024,1
0.91,0.0253143,1
0.92,0.0359132,1
0.93,0.0505297,1
0.94,0.0704789,1
0.95,0.0973982,1
0.96,0.133265,1
0.97,0.180368,1
0.98,0.241189,1
0.99,0.31814,1
1,0.413038,1
1.01,0.526177,1
1.02,0.654755,1
1.03,0.790303,1
1.04,0.914599,1
1.05,0.993305,1
1.06,1,1
1.07,1,1
1.08,1,1
1.09,1,1
1.1,1,1
1.11,1,1
1.12,1,1
1.13,1,1
1.14,1,1
1.15,1,1
1.16,1,1
1.17,1,1
1.18,1,1
1.19,1,1
1.2,1,1
